id,type,name,brand,latitude,longitude,shop,street,housenumber,postcode,city,phone,website,email,opening_hours,description,operator,wheelchair,parking
101003688,node,nah und gut,Edeka,52.4913971,13.3228827,supermarket,Güntzelstraße,40,10717,Berlin,,http://www.delikatessendiscounter.de/,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,,yes,
251340008,node,Edeka Leher,EDEKA,52.4315738,13.7149761,supermarket,Fürstenwalder Allee,314,12589,Berlin,+49 30 64169454,,,Mo-Sa 08:00-20:00,,,yes,
253616655,node,EDEKA Thaut,Edeka,52.510061,13.4709585,supermarket,,,,,,https://www.edeka.de/eh/minden-hannover/edeka-thaut-jessnerstr.-47-55/index.jsp,,Mo-Sa 06:55-22:00,,Maik Thaut e.K.,yes,
262355894,node,EDEKA,Edeka,52.515615,13.4623106,supermarket,Frankfurter Allee,35 - 37,10247,Berlin,,https://www.edeka.de/eh/minden-hannover/edeka-reske-frankfurter-allee-35-37/index.jsp,,Mo-Sa 08:00-21:00,,,yes,
268844516,node,E-Center,Edeka,52.6082579,13.2353863,supermarket,,,,,,,,Mo-Sa 07:00-20:00,,,yes,
269479009,node,Edeka Ungefroren,Edeka,52.513684,13.4060088,supermarket,Fischerinsel,12,10179,Berlin,,,,Mo-Sa 07:00-21:00,,,yes,
270814685,node,EDEKA,Edeka,52.4422611,13.2404658,supermarket,Fischerhüttenstraße,68,14163,Berlin,,,,Mo-Sa 07:00-22:00,,,yes,
271738194,node,EDEKA,Edeka,52.5374036,13.2047062,supermarket,Markt,11,13597,Berlin,+49 30 35302393,https://www.edeka.de,,"Mo-Sa 07:00-22:00; Su, PH off",,,yes,
272247672,node,Edeka,EDEKA,52.4574201,13.4373312,supermarket,Britzer Damm,55-59,12347,Berlin,+49 30 60902190,https://www.edeka.de/,,Mo-Sa 07:00-22:00,,,yes,
283443676,node,EDEKA Y.Reichelt,Edeka,52.5208001,13.3343449,supermarket,Levetzowstraße,10-10a,10555,Berlin,,,,Mo-Fr 07:00-21:00; Sa 07:00-21:00,,,yes,
286740930,node,Edeka Wittenbergplatz,Edeka,52.5026043,13.3436334,supermarket,Wittenbergplatz,4,10789,Berlin,+49 30 21473420,,,"Mo-Fr 07:00-24:00; Sa 07:00-23:30; Su,PH off",,,yes,
