district,year,density,count,area_km2,growth_pattern,base_growth_rate,description,yoy_growth_rate
Prenzlauer Berg,2014,1.1431,12,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0
Prenzlauer Berg,2015,1.0973,11,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",-0.0401
Prenzlauer Berg,2016,1.0989,11,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0015
Prenzlauer Berg,2017,1.1589,12,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0546
Prenzlauer Berg,2018,1.6357,17,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.4114
Prenzlauer Berg,2019,1.7635,19,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0781
Prenzlauer Berg,2020,1.8053,19,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0237
Prenzlauer Berg,2021,2.0101,21,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.1134
Prenzlauer Berg,2022,2.2069,24,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0979
Prenzlauer Berg,2023,2.3698,25,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.0738
Prenzlauer Berg,2024,2.5688,28,10.9,early_strong_then_stable,0.08,"Early gentrification leader, sustained growth",0.084
Neukölln,2014,0.0862,3,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.0
Neukölln,2015,0.0916,4,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.0626
Neukölln,2016,0.0916,4,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.0
Neukölln,2017,0.1195,5,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.3046
Neukölln,2018,0.1051,4,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",-0.1205
Neukölln,2019,0.137,6,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.3035
Neukölln,2020,0.1612,7,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.1766
Neukölln,2021,0.1677,7,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.0403
Neukölln,2022,0.2216,9,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.3214
Neukölln,2023,0.2533,11,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.1431
Neukölln,2024,0.2895,13,44.9,explosive_recent,0.15,"Rapid recent development, cultural hub emergence",0.1429
