id,type,name,latitude,longitude,amenity,shop,craft,street,housenumber,postcode,city,phone,website,email,opening_hours,description,start_date,opening_date,osm_timestamp,osm_version,osm_changeset,created_date,recency_score,recency_category,is_recent,district
370449039,node,Weinladen Schmidt,52.5077329,13.3099406,,wine,,Pestalozzistraße,85,10625.0,Berlin,+49 30 200039558,,,"Mo,Su off; Tu-Th 11:00-20:00; Fr 11:00-21:00; Sa 10:00-21:00",,,,,1,,,4.75,likely_recent,False,Charlottenburg
476155707,node,Köpenicker Weinladen,52.5026652,13.4392338,,wine,,Köpenicker Straße,8,10997.0,Berlin,,,,Mo-Fr 11:00-19:30; Sa 10:00-14:00,,2023-11-14,,,1,,,5.773824883145467,likely_recent,True,Friedrichshain
496275215,node,Antik Wein,52.5184441,13.43252,,wine,,Karl-Marx-Allee,67,10243.0,Berlin,+49 30 25563300,https://www.antikwein.de/,info@antikwein.de,Mo-Th 11:00-18:00; Fr 11:00-19:00,,,,,1,,,3.97,likely_recent,False,Friedrichshain
534876458,node,Jacques' Wein-Depot,52.4863287,13.2970244,,wine,,Hohenzollerndamm,58,14199.0,Berlin,+49 30 51654014,https://www.jacques.de/depot/265/berlin-grunewald/,grunewald@jacques.de,Mo-Th 13:00-19:00; Fr 12:00-19:00; Sa 10:00-15:00,,2025-04-11,,,1,,,8.28,very_recent,True,Other
534936280,node,Jacques' Wein-Depot,52.4167066,13.3995313,,wine,,Mariendorfer Damm,428-430,12107.0,Berlin,+49 30 70 76 55 17,https://www.jacques.de/,,Mo-Fr 13:00-19:00; Sa 10:00-16:00,,2024-04-26,,,1,,,5.62,recent,True,Other
560145206,node,PanAroma,52.5471842,13.4167556,,wine,,Stargarder Straße,76,10437.0,Berlin,+49 30 44719808,,,"Tu-Th 16:00-21:00; Fr,Sa 12:00-21:00",,,,,1,,,2.81,possibly_recent,False,Mitte
662653794,node,Jacques' Wein-Depot,52.4358315,13.2629691,,wine,,Berliner Straße,9,14169.0,Berlin,,https://www.jacques.de/depot/71/berlin-zehlendorf/,,,,,,,1,,,4.67,likely_recent,False,Other
699851942,node,Weinhandlung Bruhn,52.4911085,13.3256754,,wine,,Güntzelstraße,46,10717.0,Berlin,,https://www.weinhandlung-bruhn.com/,,Mo-Th 10:00-19:00; Sa 10:00-16:00; Fr 10:00-20:00,,,,,1,,,2.38,possibly_recent,False,Charlottenburg
721661534,node,Jacques' Wein-Depot,52.4923161,13.3304617,,wine,,,,,,,,,Mo-Th 15:00-19:00; Fr 12:00-19:00; Sa 10:00-16:00,,2023-08-14,,,1,,,5.28,recent,True,Charlottenburg
747457670,node,Wein et Cetera,52.5812029,13.404466,,wine,,Dietzgenstraße,16,13156.0,Berlin,,,,Tu-Fr 12:00-18:00; Sa 10:00-16:00,,,,,1,,,3.25,likely_recent,False,Other
